STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
idthepiates,11,NA,0,0,1012.22,631.09,148.3,142.2,35.28,42.78,324818.35,40248.27,38438.91,3756.2,10678.66,519.44
imagine,7,81.862,1,0.36,6738.47,950,1807.76,232.17,200.55,26.6,283909.9,38923.71,23523.76,3971.33,1539.35,402.8
imeyits,7,NA,0,0,5373.65,1022.57,449.8,87.67,22.24,7.6,281503.01,39022.57,15717.92,1843.5,1090.9,82.8
immiterise,10,NA,0,0,1889.6,685.7,253.5,111.11,56.37,30,306310.38,43006.1,26918.65,4448.78,2579.5,600.12
impoverish,10,0.237971,0,0,1611.05,550.2,249.95,93.22,97.36,29,242902.26,33280,21685.02,3546.67,3066.06,547.25
in,2,18707,9,3654.57,35152.56,5.5,18707,1,NA,NA,296072.09,43640,79789.4,12894,NA,NA
inni,4,NA,1,2.14,4606.25,81.25,685.59,3.33,1.07,0.5,296072.09,43640,30440.02,5378.33,607.87,151.5
inpant,6,NA,1,21.42,4155.32,374.67,491.95,47.6,16.93,5.25,288567.91,37083.67,36507.89,5045.2,1240.11,313.75
inside,6,189.187,1,0,5731.84,461.17,634.51,42.4,280.97,7.5,308166,45199.33,27903.27,4956.2,2668.21,378.25
insows,6,NA,0,0,4403.68,547.33,316.97,30.2,76.82,5.75,255840.62,37878.5,24023.3,3817.4,859.79,202.25
into,4,2006.57,3,24.57,5974.3,63.25,2098.68,6.33,2043.25,2,326864.65,39703.5,49354.55,6607,3883.06,490
invectiress,11,NA,0,0,1122.98,580.18,233.63,97.2,34,28.11,296405.06,42745.73,28043.81,5203.6,2660.34,628.22
invent,6,8.56696,4,7.5,4743.14,380.33,716.04,56,233.91,13,305578.15,38916.83,36796.77,5396,4834.75,691
investigate,11,9.51884,0,0,1039.65,406,268.7,82.7,46.98,17.78,317742.9,41285.73,30358.91,6035.1,2301.41,700.44
ip,2,NA,15,2929.42,21970.64,7.5,0,0,NA,NA,192001.15,32308.5,2162.8,906,NA,NA
is,2,9055.39,9,4570.37,29622.06,5.5,9055.39,1,NA,NA,284576.4,49630,34097.56,4747,NA,NA
jewel,5,2.85565,1,0.3,6787.13,363.4,333.99,27.25,26.24,5.67,262082.72,32460.8,9211.55,1089.75,601.57,66.33
jixel,5,NA,0,0,6645.42,352.4,242.49,25,37.46,3,201887.93,28753.6,4587.93,818.25,38.81,10.33
jostile,7,NA,1,27.6,7281.34,1032.14,930.7,158.17,109.17,28.4,283039.25,37812.14,19558.03,4123.67,2071.93,371.4
jump,4,27.8426,7,7.02,4703.38,127,588.44,16.67,52.41,4.5,76170.57,12630.75,3879.46,980.33,269.29,98.5
just,4,1236.44,8,123.79,11852.53,176.75,3334.55,28.33,1730.77,4.5,194825.52,27160.5,17286.73,3173.33,2518.72,205.5
justice,7,51.8182,0,0,6354.99,898.86,1035.5,129.83,162.51,27,246093.36,34733.57,19953.69,3984.83,2956.71,526.8
khtna,5,NA,0,0,7196.72,189.4,25,4.25,0,0,267305.54,27293.8,3552.64,742.5,20.78,4.67
kile,4,NA,16,12.18,18298.9,228.5,1528.41,33.33,94.68,6.5,256972,36572.25,15298.36,2981.33,1228.29,181.5
kind,4,409.846,8,131.19,11791.1,184.25,1880.07,34,934.6,5,197423.34,28384.75,43372.98,5520.67,3638.64,520
knead,5,1.18986,1,0,7216.57,231.4,759.63,25,94.2,5,277466.78,34101.2,16736.1,2222.5,1541.66,165.67
knew,4,473.086,3,389.44,9259.09,87.75,1068.15,9.67,489.68,2,232865.17,28095,9953.43,1666,1309.08,66.5
lame,4,4.46196,19,112.85,20307.95,275.25,3499.7,30.67,923.21,6.5,293956.29,37362.75,16572.08,2621.67,1795.16,233
land,4,260.459,12,57.18,14889.8,255.25,2322.16,39.33,562.21,5,251237.71,32825.75,41532.19,3979.33,17317.07,650
lant,4,NA,11,141.74,18827.76,277.75,2264.33,39.67,453.45,4,307681.61,37085.75,35934.84,4638.33,3095.85,740
lape,4,NA,16,22.63,18644.88,269,739.73,26.33,29.36,3.5,287920.58,37733,11619.45,2593.67,513.1,127.5
leald,5,NA,1,0.83,10043.52,393.6,3062.38,46,292.8,9.33,281911.66,37047,23754.88,3391.75,1843.46,181.33
learn,5,113.512,1,1.43,8262.59,348.8,1941.92,55.75,843.82,12.67,320544.83,42590.8,22526.22,3443.25,3317.77,300
left,4,567.561,7,9.83,15591.09,192.75,902.82,15.33,568.93,2.5,294587.1,34727.75,11659.92,2195.67,596.18,33.5
leld,4,NA,8,45.84,14172.67,207.25,1899.82,23.67,113.33,2.5,256944.49,35838,18580.94,2937.67,339.5,63
liberty,7,18.0263,0,0,3932.36,570,551.92,58.67,96.13,6.8,253984.57,34064.71,20879,3440,986.9,197.6
library,7,50.6878,0,0,4191.15,672.14,496.05,75,91.51,8.2,212728.23,31142.71,14059.7,2899.33,585.17,142.4
liffs,5,NA,6,1.38,5710.09,481.6,289.73,30.75,5.57,8,185772.17,28868.4,7879.49,1678.75,709.63,112.67
light,5,298.535,9,251.96,6473.75,241.8,2249.44,23.5,1841.78,8.33,239274.35,29010,11176.79,1916,4202.49,420.33
live,4,229.761,14,283.85,18477.42,217.75,3645.64,22,606.44,4,259470.88,36711.75,18757.87,3094,3226.26,515
lkoo,4,NA,0,0,6030.35,96.25,0.34,0.33,0,0,211856.95,25262.25,3972.79,628.67,1.01,3
loak,4,NA,8,80.55,15878.55,250.25,1028.93,24.67,28.94,2.5,226520.54,27405,6496.07,1228.67,130.14,55
loms,4,NA,12,9.87,13459.51,305.25,2004.45,28.33,0.71,2,214902.86,32069,11544.69,1629.67,136.8,63
long,4,780.604,8,7.16,11458.24,227.25,1848.72,33.33,801.34,3.5,215974.28,29560.75,32228.51,5762.67,2427.93,222
look,4,557.923,12,70.84,13233.58,233,2786.86,35.33,972.56,6.5,211856.95,25262.25,9151.39,1474,2497.24,187.5
losh,4,NA,13,30.42,14307.41,209.5,1705.68,32.67,192.43,5,250399.16,31481.75,11916.91,2121,581.24,82
lost,4,216.256,14,166.58,18288.29,254.5,3547.05,37,1010.54,4.5,287270.18,37938,18550.39,3554,1968.85,229.5
mader,5,NA,3,1.75,9220.79,478.6,2477.43,86,349.48,9.33,283019.68,36128.8,29616.11,4896.5,2471.66,451.67
man,3,1024.11,21,191.65,13319.82,76,2695.8,10.5,1024.11,1,257072.56,31839.67,40220.63,4178,4661.14,661
mannanency,10,NA,0,0,1374.68,534.2,304.95,85.89,107.27,19.62,273082.65,34924.1,26033.61,3311.67,1321.94,266.62
me,2,2418.02,21,1045.73,13398.15,11.5,2418.02,1,NA,NA,312002.67,39110,27137.79,2793,NA,NA
meat,4,75.0799,13,61.66,21236.56,234.75,6430.71,37,400.89,6,349493.53,39581.25,32555.54,4292.33,2408.45,237.5
med,3,NA,15,103.02,18303.81,60.33,730.3,5.5,0,0,263472.72,33134,33556.86,5034.5,1719.88,276
mich,4,NA,6,210.52,13124.47,154.5,1442.88,19.67,69.19,2,192372.19,24540.5,15118.22,2903,2145.19,113.5
milk,4,108.396,8,13.13,13036.87,197.25,1474.51,27.67,157.3,4,152330.25,24390.25,8399.74,1669,976.1,122
miss,4,241.481,8,24.25,13923.98,274,998.49,22.33,266.05,3,233899.7,41219,18342.15,3497.67,1207.29,406
mistake,7,46.4638,0,0,5218.1,710,713.57,91.67,153.88,19.2,285466.18,37523.14,17866.37,3125.33,3016.51,609.4
mistive,7,NA,3,0.12,6747.71,938.29,1122.64,139.83,193.7,30.8,275986.35,38532.43,24177.67,4383,3345.03,879.8
molent,6,NA,2,157.98,6822.49,602.83,1036.83,64.6,243.58,11.75,299346.24,36332,24570.88,3982.2,4251.87,678
molk,4,NA,7,20.7,13823.54,235.75,1982.47,27.33,12.02,2,156755.24,20620.75,7690.84,1284.67,50.66,49
money,5,386.524,2,10.53,10209.13,557.8,796.76,52,461.37,7.33,262719.6,31897.6,22116.93,3265.25,3088.92,333
moon,4,54.7928,13,31.69,16041.88,224.5,3092.77,36,257.9,6,258922.33,30065,23132.03,3345,465.98,135
moop,4,NA,9,12.66,12709.76,216.75,2953.67,35.33,56.96,4.5,206886.86,24399.25,9730.32,1499.67,195.2,85.5
more,4,2427.66,20,19.84,21742.86,295.25,5522.53,39.33,2501.1,6.5,297507.82,37722.75,35510.03,4303,4047.56,322
morning,7,305.257,2,2.92,8787.21,1212.71,3620.48,425,2160.99,218.8,233088.7,32897.14,29896.91,5000.67,7505.13,1628.4
mot,3,NA,20,321.71,16549.84,76,3136.28,9,0,0,272677.86,28760,13623.01,1579.5,1021.37,142
mout,4,NA,9,134.22,17008.31,236.25,2107.27,22.67,5.41,3,233984.64,26190.25,23287.88,2134.67,3960.64,346
mpju,4,NA,0,0,2985.24,44.5,0.1,0.33,0,0,76170.57,12630.75,2765.66,576.67,0,0
mun,3,NA,17,133.31,6883.25,55,280.42,7,0,0,169114.11,24039,8389.28,1575,403.54,80
must,4,917.676,15,168.19,14131.51,197.5,3548.78,30,1573.47,6.5,219134.85,30579.75,17791.61,3276.67,2486.05,234
my,2,2651.35,14,546.22,6474.86,8,2651.35,1,NA,NA,91233.82,11906,3433.5,130,NA,NA
mystery,7,24.63,1,5.18,5338.99,747.57,1080.39,177.33,297.39,42.2,240331.08,32114.71,24537.7,4428.5,3493.45,678.4
na,2,NA,14,187.26,1310.83,7,0,0,NA,NA,334249.27,40386.5,7768.57,2242,NA,NA
nap,3,5.29486,17,8.78,13021.76,70.67,79.07,9,5.29,1,249024.95,32333.33,6879.77,1847,99.95,70
napery,6,0.178478,1,1.01,5510.7,561.83,564.29,72,72.7,10,265168.24,34816.5,20334.92,3668.6,2167.01,370
natural,7,163.665,0,0,3843.05,564,787.76,69.17,350.4,8.8,281901.67,35438,20861.13,3891.5,1983.01,355
naw,3,NA,16,211.38,14609.86,64.67,307.93,7,0,0,253606.15,28570.67,5082.85,1327,26.53,9
need,4,456.904,9,11.85,15714.31,190.5,2785.87,34.67,510.24,5.5,373925.85,46755,26158.45,4365.33,1466.08,151.5
never,5,906.253,4,10.53,9033.48,388.6,3139.18,74,1122.67,9.67,322664.48,42166.4,31510.99,4759.25,6048.03,465.33
new,3,1082.35,11,212.75,8647.88,50.67,1410.51,6,1082.35,1,300108.1,35767.67,13561.99,2409.5,1901.27,83
nied,4,NA,7,90.42,15479.29,189,708.12,22.67,88.02,3,319960.8,42984,20017.71,4507.33,937.81,190
no,2,2495.54,16,2036.05,18783.96,9,2495.54,1,NA,NA,304922.09,36101,17105.77,1307,NA,NA
nop,3,NA,19,382.05,11929.71,66,3625.94,8.5,0,0,229473.5,29476.33,12008.76,1309.5,36.53,36
nuder,5,NA,2,0.8,7598.4,373.2,2228.7,66.5,336.47,6.33,267044.42,36277.2,22736.06,4078.5,1630.84,382.67
number,6,302.283,4,1.03,7006.33,760.5,1759.28,162.6,384.01,14.75,222971.99,30924,18973.11,3002.4,1101.73,208
nurger,6,NA,0,0,7913.4,848,1968.26,190,202.29,18.75,249287.11,36042.67,19941.4,3273.2,866.65,176
oban,4,NA,1,0.65,10590.5,108.25,733.62,8.33,0,0,264482,31169.75,24152.72,2591.33,553.61,125
oenc,4,NA,0,0,9425.63,154.25,608.37,11.33,0,0,311942.4,39576.25,18859.42,2856.67,1619.96,319.5
of,2,30167.2,10,1429.45,37314.45,6,30167.2,1,NA,NA,208980.14,20589.5,33183.01,331,NA,NA
office,6,252.725,0,0,5242.05,373.67,753.7,29.6,395.06,7.5,242691,30589.83,16428.42,1721.2,1871.06,211.75
old,3,750.918,1,57.77,17707.94,31.33,750.92,1,750.92,1,219859.43,27947.33,10876.74,1284.5,2436.35,192
om,2,NA,14,3025.07,21175.51,7,0,0,NA,NA,212922.57,24029,18694.76,1876,NA,NA
on,2,6873.67,12,4729.3,35249.49,7,6873.67,1,NA,NA,304922.09,36101,47116.89,6848,NA,NA
once,4,578.746,0,0,13273.77,140.75,1502.51,8,578.75,1,311942.4,39576.25,25375.52,3822,4085.75,547
only,4,1774.31,1,4.4,8756.87,101.25,2089.07,6.33,1774.31,1,214908.04,27654,22237.67,3528.33,2086.62,37.5
open,4,304.484,3,8.03,11323.22,108.75,3269.84,9.67,304.48,1,302426.67,37975.75,22083.27,3396.33,2037.18,285.5
orn,3,NA,5,185.5,7099.31,37.67,3.24,2,0,0,284248.04,37187,21143.73,2461.5,813.98,193
os,2,NA,14,4245.57,29718.99,7,0,0,NA,NA,293426.4,42091,8846.27,1638,NA,NA
ot,2,NA,20,2904.34,29043.4,10,0,0,NA,NA,357657.21,35767,15591.74,1587,NA,NA
other,5,1596.96,2,5.68,8003.64,285.6,3052.26,49.75,1599.4,2,344840.98,37352.8,81081.15,4357,35854.98,506.33
overtruan,9,NA,0,0,1883.01,485.33,204.52,66.12,36.65,25,283326.2,35401.67,24288.69,3367.12,2547.8,357.86
overwhelm,9,1.90377,0,0,1520.05,478.78,186.61,53.88,51.76,23.57,251057.01,29631.56,31731.25,2648,2975.06,297.43
pame,4,NA,15,131.03,18847.64,281.75,3451.49,28.67,901.88,4,271090.5,34082.5,14851.55,2062.33,1667.94,149
paper,5,173.421,7,1.19,9030.85,495.2,2322.83,86.5,206.3,10,260623.81,35434,23768.65,4282.5,2012.5,429.33
part,4,482.07,18,22.83,18599.52,282.25,1504.02,41,527.23,7.5,273861.25,33922.75,17454.03,2750,3812.6,472
peace,5,90.7265,3,184.55,10633.42,428.6,1989.63,53.25,413.42,7.67,323913.65,41537.4,17907.74,2581,1742.88,180.33
pealt,5,NA,2,10.89,9999.25,405.4,1386.31,47.5,74.45,7.33,308774.15,37830.8,18599.81,2748.75,1528.05,177.67
pencil,6,16.658,0,0,5142.06,489,601.77,48.6,20.2,3.5,246447.57,36493,18339.01,3044.8,1596.53,331.25
people,6,1317.05,0,0,8947.96,631,2156.06,72.8,1402.09,5.5,282148.41,37010.33,11804.21,2247.2,1829.27,97.25
permanency,10,0.178478,1,3.33,1714,594.4,323.08,96.89,127.87,32.75,261837.22,34863.8,27127.92,3996,1987.23,415.12
phlere,6,NA,0,0,6734.96,534.83,782.79,57.8,17.42,3.75,296465.41,37379.83,30388.68,4973.6,3345.87,324.5
pickle,6,2.73667,4,1.52,7083.54,560,1067.85,94,99.69,16,203850.59,30857.5,11074.83,2559,618.92,224
piscil,6,NA,1,0,3959.42,430.17,242.72,38,12.51,3.75,206638.97,35975.67,12746.18,2427.4,421.27,151.75
place,5,544.716,5,35.27,9698.03,383.2,1666.76,48,867.42,9.67,253664.31,34712.2,13609.16,2396.25,2325.51,323
plane,5,46.0474,6,121.43,10136.15,410.2,1154.37,53,389.32,12,287680.1,37964.4,27488.37,3694,1900,381.33
play,4,268.074,6,24.32,10051.06,158.5,781.22,19.33,329.47,3,177536.15,24131,10736.97,1808.67,2048.45,298.5
plays,5,41.7639,5,14.24,7024.83,550,748.95,37.5,329.29,10.67,194774.29,29478.8,8898.17,1473.75,1994.18,252.33
pledge,6,5.47333,2,0.57,5384.48,438.67,425.59,37.6,67.32,6.75,256935.74,35066.33,17681.38,3254.2,1779.74,309.5
pocorism,8,NA,0,0,4051.2,1001.12,533.24,118.57,72.07,18.5,219529.93,32355.62,18475.98,3139.29,792.66,292.33
polarize,8,0.237971,0,0,4517.6,1048.5,509.23,108.29,51.47,22.33,253252.32,34263.88,12949.54,2844.57,1054.4,426.33
pon,3,NA,19,22.83,11561.73,76.33,186.21,7.5,0,0,229473.5,29476.33,28489.23,4349.5,984.96,165
pop,3,36.4691,19,15.16,9722.7,73.67,178.98,8.5,36.47,1,160092.87,21922,8386.66,1581.5,317.87,72
potent,6,6.84167,1,4.28,7660.78,624.5,935.3,65.8,273.24,14.75,332347.26,38057.83,26574.68,4347.4,4918.3,769.5
power,5,328.043,10,16.03,10827.98,473.4,2363.01,79.5,462.16,12,251641.67,31462.2,25836.88,3692.5,2447.53,144.33
pretty,6,107.265,0,0,5145.11,535,497.91,53.8,125.13,7.25,284481.3,34095,18942.58,2804.4,1656.71,384
pumer,5,NA,1,0.83,8023.52,424.4,2310.56,75.5,7.42,3.33,212677.31,30457.4,24773.05,3941.5,703.64,169
purchase,8,20.4655,0,0,3197.91,810.25,310.68,71,63.24,8.67,245939.77,33165,20023.97,2075.57,1398.11,207
purshare,8,NA,0,0,3309.09,806.25,282.96,74.57,20.35,7.5,261722.36,35256.25,25182.58,3249.43,2091.99,228.17
qualify,7,7.3771,1,109.17,5467.58,835.71,600.23,77,147.84,17,164820.69,22304.14,10947.95,2123.17,1249.69,351.8
quen,4,NA,1,0.06,11843.34,155.25,3086.46,12.33,0,0,232480.16,30484.75,17431.46,2625.67,847.98,221
question,8,238.685,0,0,3701.74,849.12,1009.01,139.29,581.99,41.33,276798.49,36591.62,24807.14,5585.43,6226.06,1442.5
rackle,6,NA,4,7.79,7394.81,618.33,1203.04,101,89.14,15.25,243963.59,33628.33,12789.18,3002.2,1264.58,329.5
rebosks,7,NA,0,0,4907.17,885.71,424.88,67.33,3.91,3.2,244600.8,36222.29,13047.22,1948.5,79.34,55.8
recorse,7,NA,1,4.46,5869.39,686.57,1137.67,96.17,88.95,12.4,318837.76,44639.57,28366.03,4060.67,1650.06,370.2
red,3,174.79,13,38.28,17395.11,61.67,409.1,7,174.79,1,310199.65,41338.33,48719.15,7222.5,4310.91,829
reeh,4,NA,4,6.37,15933.54,185.5,2178.17,25.33,12.73,2,382544.17,44676,24605.25,2969.67,1323.39,157
repress,7,2.37971,3,1.75,6981.33,1155.43,847.6,133,217.97,30.8,304914.6,46233.29,29785.22,5486.83,3564.6,987.6
rescets,7,NA,0,0,6962.63,1179.43,1048.92,164.67,130.8,32,331679.09,46985.43,23258.59,4670.33,1630.57,423
resolve,7,11.1251,1,2.14,5148.44,692.71,680.53,87.33,77.58,10.2,297642.35,40781.71,24536.01,4240.67,1794.42,351.4
reverse,7,24.273,1,1.31,5883.22,676.14,1147.6,103.5,217.61,18,336359.59,46520.71,33614.45,4797.5,5293.48,863
ridicule,8,4.64044,0,0,2964.26,653.25,274.47,58.29,21.66,6,243254.32,36406.62,14883.13,3170,679.1,203.17
river,5,113.572,13,2.48,9134.78,408.8,3050.27,82,741.82,15.67,270728.78,39243.4,30391.44,5164.25,5375.67,720
ro,2,NA,18,1947.91,17531.2,9,0,0,NA,NA,283012.96,36335.5,21936.65,3583,NA,NA
roder,5,NA,6,5.41,10912.59,462,2495.11,79.75,358.72,8.67,299324.97,39337.2,28523.06,4924,1804.67,408.33
round,5,322.51,7,112.76,10897.17,380.8,3128.81,48,1062.88,9.33,227412.38,30244.8,30565.21,3014.5,4594.58,514
runey,5,NA,2,0.45,6883.19,489.6,435.96,38.25,140.82,4.33,249711.55,33854,11670.14,2093.75,520.96,95.67
ruticole,8,NA,0,0,3352.52,736.38,369.95,82.86,10.52,6.5,273688.78,36651.88,18447.71,3772.71,1169.69,305.5
sail,4,8.21,13,235.76,14690.67,253.25,2939.86,28.33,1518.11,7,280243.15,42622.75,12165.98,1751,2016.09,172.5
sain,4,NA,14,240.56,16616.33,252,3077.36,29.67,1630.76,5,309412.84,45008.25,33901.84,5212.33,4173.3,286
sausage,7,6.12775,0,0,5291.8,846.57,368.52,69.33,152.02,17,287745.56,40593.43,9420.82,1558.83,1066.6,146.2
scays,5,NA,10,1.95,7475.5,563.2,136.89,24,54.77,9.67,221124.34,35063.6,8137.57,1515.75,810.79,150.33
seadrill,8,NA,0,0,4612.76,1135.25,440.99,121.86,18.99,15,277701.38,40481.75,18383.4,2770,1741.18,229.33
seashell,8,1.48732,0,0,3692.36,948.75,399.81,101.57,33.42,15.67,317073.71,42708,36424.33,2840.71,2516.82,318.67
see,3,1061.35,17,294.59,32242.86,68.67,1426.78,8.5,1061.35,1,435433.07,59272.67,21706.71,2485.5,2672.59,111
serning,7,NA,2,12.97,10086.9,1325.86,3779.76,424.5,2103.57,216.8,284398.4,42366.57,37279.19,6458,7437.82,1671.8
she,3,4270.81,5,12506.35,51791.58,42.67,35002.79,2.5,4270.81,1,343239.13,42247,65285.91,2565.5,5645.87,481
sheas,5,NA,5,1.69,13070.9,601.8,3241.95,52,203.84,8,335044.91,43898.8,47103.88,2615.75,3858.3,393
shine,5,7.91254,11,5.28,15154.71,435.4,3375.13,62,514.57,13,324372.31,42804.2,36508.85,5366.5,3787.17,748.67
shink,5,NA,9,92.39,11744.96,352.8,3509.25,61.5,812.27,11.67,226342.35,31124.8,31381.22,4427.25,2966.13,410.67
shoes,5,67.8812,6,21.86,14934.74,753.8,1919.83,117,279.04,7.67,323314.04,42184.6,17899.04,4086,1271.9,130.33
sholt,5,NA,4,60.27,13257.08,379.2,1196.16,39,366.59,6.33,278757.02,32829.8,11962.3,1724.25,1462.95,193.33
short,5,194.363,7,21.49,12720.76,370.6,1409.26,44.5,387.81,9.67,293329.11,34832,20475.43,2490.25,2509.92,377
shotty,6,NA,4,1.5,6543.76,573.33,956.27,59.6,317.75,9,282613.76,30348.17,12415.44,1600.2,1060.25,146
shring,6,NA,6,17.87,7693.92,636.33,2352.99,171.4,1129.71,79,237914.8,34433.17,30537.32,5767.2,8419.55,2061.25
sick,4,70.6179,15,12.93,11996.14,200,1099.7,28.33,127.55,6,179232.1,31741.5,13078.67,2707.67,992.04,267.5
sids,4,NA,12,40.52,12179.16,283.5,590.05,23.33,225.95,3,249823.11,42828,10317.49,1677.33,1053.74,127.5
signal,6,35.8146,0,0,4939.34,512.83,643.07,49.8,62.93,5.75,248617.38,37679,12866.86,2329.4,1217.88,228
signaller,9,0.178478,1,6.54,2464.51,859.33,221.16,113.5,31.29,17.71,269547.76,39806.11,22257.83,3907.38,2567.93,455.29
sildal,6,NA,0,0,5008.71,535,637.42,57.2,41.9,4.75,242904.15,36836.83,15484.24,2296.6,604.65,73.75
sing,4,22.8452,13,22.71,11472,210.75,1539.67,36.33,141.24,6,234971.12,38710.75,43849.09,7863.33,16229.48,3779
sint,4,NA,13,20.08,18047.63,257,1878.5,35.67,50.12,5,312014.86,44093,41456.55,6757.67,4099.56,678.5
skateboard,10,0.713913,0,0,1181.48,540.5,62.73,39.67,9.19,9.38,277064.07,34585.6,14403.7,2657.11,1435.45,444.25
slace,5,NA,8,89.28,11040.22,444.4,1512.16,52.5,587.41,10,290694.41,41640.8,12109.69,2342,1448.11,233.67
slellen,7,NA,0,0,6023.68,1067.86,619.97,143.67,48.27,13,300447.98,43536,23273.31,4004.67,1430.33,306
slit,4,6.36572,12,12.78,13063.57,188.25,204.2,19,35.52,3.5,282845.18,41707.5,20253.64,3163,1861.74,389
snose,5,NA,1,1.01,10424.9,386.8,1560.39,35.25,475.74,7,331716.8,47483.2,13584.68,1736.5,1074.3,160.33
so,2,2825.31,22,1472.62,19024.17,12,2825.31,1,NA,NA,293426.4,42091,13512.11,1189,NA,NA
sobsaller,9,NA,0,0,2785.99,902.33,324.23,100.25,21.37,11.43,266992.06,38784.22,21399.97,3503.88,2002.07,378
some,4,1859.62,8,258.58,20314.5,293,4333.79,23,2552.5,3.5,302714.54,40600.5,19781.55,1952.67,5221.76,250
soth,4,NA,5,124.68,15439.47,224.5,3828.77,21,311.71,2.5,305936.4,33700.25,51868.78,1583.33,2523.71,129.5
sould,5,NA,5,1002.49,12939.43,462.6,5076.85,35.5,3352,5.33,208242.01,30638.6,19529.51,1709,4307.87,75.67
space,5,128.147,6,7.87,10327.01,402.6,1290.64,40.25,387.58,8,272401.78,39016.6,11670.99,2016,1148.37,188.67
spat,4,7.43659,12,12.1,15729.69,187.25,4925.05,17.33,11.42,3.5,279067.98,36800.5,20033.97,3540.33,707.93,235.5
special,7,195.255,0,0,5340.13,811.43,711.48,65.17,292.5,10,262496.34,38974.43,12830.19,2449,1952.62,269.4
spell,5,20.763,5,22.08,8911.75,314,964.56,35,206.54,6.67,240733.66,37853.4,14696.35,2540.75,1966.87,339.33
speveal,7,NA,0,0,4237.28,628.71,602.71,62.17,78.82,4.8,282546.74,38701.57,19048.29,2585.67,2428.6,169.6
sphere,6,14.3378,0,0,6415.03,512.33,909.31,68.4,105.75,3.75,312079.97,40966.83,49430.62,4688,7523.7,427.5
spoll,5,NA,4,9.64,8091.43,328.8,904.87,31.75,66.77,5.33,201101.61,31821,11779.8,2112.75,1261.42,275
spring,6,73.1761,6,7.91,7036.85,608.33,2115.84,166.2,1152.6,77.5,210226.79,35071.5,30583.7,5952.2,8862.2,2138.25
spu,3,NA,3,3.39,4954.7,24.33,4.91,1,0,0,153402.7,28526,4464.42,1064.5,75.38,47
spuer,5,NA,0,0,10510.07,443.2,2114.53,68,3.19,2.67,244878.84,37682.2,19456.06,3469,48.37,38
spy,3,8.32899,7,123.17,5230.05,37.67,9.07,1.5,8.33,1,140683.87,25387.67,3018.81,766.5,12.73,8
stail,5,NA,5,4.37,7826.2,342.8,1645.17,42.5,369.59,11.33,302632.21,41742.6,19024.98,3410.75,2655.02,420.33
stain,5,7.3771,6,14.16,8123,342,1814.98,44.75,719.01,13,325967.96,43651,35326.88,6006.75,4093.16,496
stamp,5,13.8023,4,2.66,5979.19,303.8,1207.11,44,366.59,10.67,243798.21,32389.6,15736.9,3160.75,1983.75,371.67
stass,5,NA,5,13.36,9933.87,610.2,1634.09,47.5,500.57,10.67,313029.85,46543,23152.25,3934.75,2570.05,449.33
ston,4,NA,4,117.53,9948.76,138.75,498.49,12.67,87.45,1,316439.86,40323.5,39935,5225.33,1410.87,350.5
stop,4,173.243,5,34.37,6616.65,131,359.4,12,175.27,2,264404.39,34657.75,26533.29,3380,1430.5,276
strange,7,103.041,0,0,5338.61,678.14,631.63,90.67,178.25,13,310373.34,41341.57,29299.58,5052,3000.68,701.8
strarms,7,NA,0,0,5651.95,976,491.42,76,93.87,9.8,269991.63,39329.86,17129.41,3488,1988.2,444.4
streat,6,NA,3,102.05,6344.83,573.67,954.82,61.8,386.76,14.5,365678.36,45338.33,34781.4,5342.2,4178.67,575.25
street,6,261.768,0,0,9622.83,918.67,1218.66,82.4,471.75,13.75,388929.34,48936.83,26547.12,4117.6,2509.84,422
strong,6,167.948,3,9.8,6617.06,525.17,1725.78,111.8,354.68,14.25,265445.47,36224.33,30270.55,5579,2397.72,470.25
strosh,6,NA,0,0,5578.71,450,942.02,62,327.69,11.75,288395.4,37505,18083.6,3394,1634.01,401
sudsage,7,NA,0,0,4767.65,730.57,456.99,60.17,139.75,14.6,256978.77,37636.14,7160.68,1256,708.38,118
sun,3,155.217,17,34.55,8546.83,61.33,352.29,7.5,155.22,1,222783.33,36080.33,10823.43,1935,377.07,97
swane,5,NA,3,1.65,10625.13,424.6,553.4,40.5,23.62,8.33,309166.29,40011.2,27090.5,2854.5,645.77,138
swollen,7,13.5643,0,0,5852.43,1012.29,508.95,126.67,48.56,10.2,261036.58,35740.14,18991.17,2951.33,979.41,244
take,4,745.563,14,76.3,25445.82,263.75,2289.78,22.33,1257.97,5.5,331597.83,37164,10029.05,1702.67,2316.89,176.5
tascer,6,NA,1,0.48,8656.38,932.83,1796.71,178.6,31.53,5.25,319753.49,42739.5,27018.32,4151,524.95,162.75
tate,4,NA,17,79.59,27418.64,283.5,987.62,28.67,281.64,5.5,421860.85,45450.25,31178.5,5997.33,4760.82,1529
te,2,NA,15,3192.08,23940.56,7.5,0,0,NA,NA,456737.32,50848,33396.19,7530,NA,NA
telechinct,10,NA,0,0,1662.57,555.5,270.63,67.56,40.8,10.12,306711.58,37767.5,26479.93,4374.33,2017,338.75
telescoped,10,0.297464,1,1.73,1868.34,710.6,356.96,121.67,42.17,12.62,307456.77,40221.2,22309.29,4972.89,1369.28,393.25
testify,7,5.23536,1,1.13,7507.71,972.14,926.78,135.33,129.47,32,292771.24,36587.29,23677.95,5892.83,2295.93,815.6
